"","FirstName","LastName","CSE_PlayerID","Obj_ExitVelo_Swing1","Obj_ExitVelo_Swing2","Obj_ExitVelo_Swing3","Plane","Connection","Rotation","BatSpeed","RotationalAcceleration","Power","TimeToContact","PeakHandSpeed","OnPlaneEfficiency","AttackAngle","Obj_FootSpeed_H11","Obj_FootSpeed_H12","Obj_FootSpeed_HH1","Obj_FootSpeed_HH2","Obj_FootSpeed_5_10_5_Trial1","Obj_FootSpeed_5_10_5_Trial2","name","player_id","pos","PA","AVG","OPS","H","x2B","x3B","HR","wRAA","wRAA_per_100_PA","PositionID","exitVelo","H1","HH","agility"
"1","Allee","Bunker",5428,69,70,69,45,55,69,64.1,14.4,2.94,0.14,20.7,58,15,NA,NA,NA,NA,4.77,4.71,"Allee Bunker",1846,"2B",193,"0.367","1.05",65,12,1,10,"19","9.9",3,69,NA,NA,4.74
"2","Terra","McGowan",5441,76,75,77,44,56,45,62.2,6.2,2.43,0.16,20.4,56,15,3.07,2.95,11.89,NA,5.02,4.94,"Terra McGowan",33729,"C",188,"0.319","0.989",52,7,0,12,"16","8.4",1,76,3.01,11.89,4.98
"3","Kaitlynn ""KK""","Humphreys",5437,77,75,74,61,51,74,64.4,16.1,2.8,0.15,18.2,74,11,2.87,2.84,11.4,NA,5.11,4.89,"Kaitlynn ""KK"" Humphreys",17003,"1B",181,"0.288","0.901",45,9,2,8,"10","5.7",2,75,2.855,11.4,5
"4","Ariel","Carlson",5429,76,79,80,68,55,80,65.2,21.2,2.89,0.14,20.1,81,20,NA,NA,11.38,NA,4.74,4.72,"Ariel Carlson",3790,"RF",157,"0.331","1",47,10,1,9,"15","9.7",4,79,NA,11.38,4.73
"5","Hanna","Delgado",13186,70,70,72,70,52,62,63.7,11.8,2.67,0.16,18.3,84,19,NA,NA,11.59,NA,4.87,4.62,"Hanna Delgado",13236,"CF",154,"0.328","0.811",44,3,3,0,"2","1.3",4,70,NA,11.59,4.745
"6","Paige","Sinicki",13193,63,72,73,65,47,79,60.8,18.4,2.39,0.15,17.4,78,15,NA,NA,11.01,NA,5.04,4.41,"Paige Sinicki",28573,"SS",140,"0.226","0.598",28,3,0,2,"-10","-7.1",3,72,NA,11.01,4.725
"7","Tehya","Bird",13184,73,69,72,69,65,70,60,14.5,2.47,0.16,19.5,82,14,2.9,2.88,11.77,NA,5.09,4.95,"Tehya Bird",33714,"3B",137,"0.258","0.859",31,6,0,8,"6.2","4.5",2,72,2.89,11.77,5.02
"8","Alyssa","Daniell",13185,79,77,81,47,53,55,70.3,9.6,3.01,0.17,21.5,60,14,NA,NA,11.41,NA,4.94,4.79,"Alyssa Daniell",2371,"RF",121,"0.262","0.818",28,4,0,7,"2.1","1.7",4,79,NA,11.41,4.865
"9","Vallery","Wong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34216,"RF",85,"0.25","0.853",18,4,1,4,"3.6","4.2",4,NA,NA,NA,NA
"10","Kai","Luschar",5439,67,70,69,59,61,54,59.6,9.2,2.15,0.16,17.6,72,8,NA,NA,10.73,NA,4.66,4.66,"Kai Luschar",17128,"LF",73,"0.443","0.937",31,0,1,0,"2.9","4",4,69,NA,10.73,4.66
"11","Kedre","Luschar",13189,73,74,77,62,52,58,65,10.7,2.54,0.16,18.8,76,19,NA,NA,11.06,NA,4.66,4.66,"Kedre Luschar",19267,"RF",70,"0.303","0.691",20,1,1,0,"-3.5","-5",4,74,NA,11.06,4.66
"12","Kyla","Morris",13190,70,70,71,56,63,58,59.4,10.5,2.28,0.15,18.5,69,10,NA,NA,10.93,NA,4.46,4.45,"Kyla Morris",20628,"CF",45,"0.326","0.681",14,0,0,0,"-2.7","-6",4,70,NA,10.93,4.455
"13","Karissa","Ornelas",5443,68,63,69,51,58,53,63.6,8.8,2.4,0.17,18.9,64,15,NA,NA,12.68,NA,5.3,5.09,"Karissa Ornelas",17795,"C",42,"0.27","0.763",10,2,0,1,"0.06","0.13",1,68,NA,12.68,5.195
"14","Allison","Benning",13183,73,74,73,35,55,53,64.2,8.8,2.58,0.18,17.8,47,19,NA,NA,12.56,NA,5.42,5.2,"Allison Benning",1986,"P",20,"0.167","0.472",3,1,0,0,"-2.3","-12",5,73,NA,12.56,5.31
"15","Katelyn","Howard",5436,70,75,75,44,57,49,61.8,8.9,2.25,0.17,18.5,60,13,NA,NA,12.7,NA,5.44,5.36,"Katelyn Howard",18207,"1B",16,"0.333","0.975",5,1,0,1,"1.3","8.4",2,75,NA,12.7,5.4
"16","Remmington","Hewitt",13188,70,71,69,65,58,65,60.9,13,2.23,0.16,19.1,78,22,3.11,3.14,12.03,NA,5.08,5.04,"Remmington Hewitt",29614,"3B",15,"0.231","0.872",3,1,0,1,"0.88","5.9",2,70,3.125,12.03,5.06
"17","Elise","Sokolsky",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9796,"P",0,"NaN","NaN",0,0,0,0,"NaN","NaN",5,NA,NA,NA,NA
"18","Morgan","Scott",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27214,"P",0,"NaN","NaN",0,0,0,0,"NaN","NaN",5,NA,NA,NA,NA
"19","Raegan","Breedlove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29179,"P",0,"NaN","NaN",0,0,0,0,"NaN","NaN",5,NA,NA,NA,NA
"20","Stevie","Hansen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32439,"P",0,"NaN","NaN",0,0,0,0,"NaN","NaN",5,NA,NA,NA,NA
"21","Abby","Mulvey",13191,68,69,70,53,45,72,60.2,15.5,2.2,0.16,19.7,67,12,NA,NA,12.42,NA,5.29,5.26,"Abby Mulvey",NA,"C",NA,"NA","NA",NA,NA,NA,NA,"NA","NA",1,69,NA,12.42,5.275
